vector_x,vector_y,vector_z
-0.07762673497200012,-0.11298418790102005,-0.880682647228241
0.20129913091659546,-0.14653430879116058,-0.8760220408439636
0.3459373712539673,-0.1047859936952591,-0.8381204009056091
0.3107268810272217,-0.03730710223317146,-0.8086763620376587
0.129852294921875,-0.13963435590267181,-0.8624789118766785
0.16828161478042603,-0.06808041036128998,-0.8374761343002319
0.23521964251995087,-0.10387841612100601,-0.842205286026001
0.5094155669212341,-0.23016315698623657,-0.7885672450065613
0.3877268135547638,-0.0575922429561615,-0.8595454692840576
0.20551922917366028,-0.03730710223317146,-0.9021899700164795
-0.38388189673423767,0.047079071402549744,-0.7172052264213562
0.5778647065162659,-0.09685825556516647,-0.7816722989082336
0.15417775511741638,0.06298863142728806,-0.8601211905479431
-0.0061614615842700005,-0.022503461688756943,-0.8883863687515259
0.07611512392759323,-0.028940610587596893,-0.9140470623970032
0.2367061972618103,-0.004856893327087164,-0.8835749626159668
0.48513925075531006,-0.050830528140068054,-0.8302795886993408
-0.03060978464782238,-0.153680682182312,-0.8856173753738403
0.5356453061103821,-0.09701453149318695,-0.7805208563804626
0.304842084646225,-0.10285063832998276,-0.8601348996162415
0.027587050572037697,-0.05882437527179718,-0.8565297722816467
0.18640899658203125,0.011407279409468174,-0.8821356892585754
-0.06854154169559479,-0.03106829710304737,-0.899544358253479
0.04058520495891571,-0.21029874682426453,-0.9029301404953003
-0.002936494303867221,-0.13352777063846588,-0.9537581205368042
0.49466672539711,-0.08626190572977066,-0.7526668906211853
0.18827027082443237,-0.24787583947181702,-0.8370375037193298
0.03288213908672333,-0.35359296202659607,-0.8358997702598572
-0.18361450731754303,-0.31310683488845825,-0.8537334203720093
-0.3380873501300812,-0.37282025814056396,-0.8261810541152954
-0.3031962811946869,-0.33255651593208313,-0.8743085861206055
-0.08419952541589737,-0.3475044071674347,-0.8666597008705139
-0.3122692108154297,-0.28681129217147827,-0.8581883907318115
-0.05895878002047539,-0.33119815587997437,-0.8480173349380493
-0.05088100582361221,-0.3434293568134308,-0.9064255952835083
-0.08049541711807251,-0.3050107955932617,-0.8985711336135864
0.004465573001652956,-0.26946523785591125,-0.8589971661567688
0.10614725202322006,0.10304801911115646,-0.9208460450172424
-0.08123869448900223,-0.02771448716521263,-0.898475170135498
0.018649285659193993,-0.3703139126300812,-0.8614507913589478
-0.1327214539051056,-0.35175979137420654,-0.8941572904586792
-0.18522392213344574,-0.33255651593208313,-0.8966383337974548
-0.2441886067390442,-0.2144279032945633,-0.8603953123092651
-0.24987684190273285,-0.0683809295296669,-0.9234231114387512
0.149441659450531,-0.1556340754032135,-0.8637948036193848
0.11799056082963943,-0.03501713648438454,-0.8960214853286743
0.21292744576931,0.05457405373454094,-0.8346249461174011
0.2517683506011963,-0.09146691858768463,-0.8761042952537537
0.3587082326412201,0.006580919027328491,-0.8658921122550964
0.16769805550575256,-0.11905470490455627,-0.9292077422142029
0.38453254103660583,-0.03596077114343643,-0.8658646941184998
0.29239678382873535,-0.015675634145736694,-0.8185732960700989
0.34639808535575867,-0.07481808215379715,-0.8592712879180908
-0.05475711077451706,0.05377466604113579,-0.8700729012489319
0.19244122505187988,-0.13853444159030914,-0.9497554898262024
0.26168280839920044,-0.06099413335323334,-0.870634913444519
0.3874012529850006,-0.05247136950492859,-0.8679482340812683
-0.07067309319972992,-0.0005474287318065763,-0.8908537030220032
0.2847244143486023,0.08879733085632324,-0.8370237946510315
